"ID","AGE","WEIGHT","ID_NUMBER","GENDER","NATIONALITY"
535,12,83,"MF87963563CCI6625490T9266315",1,"Tunisia"
536,47,67,"DT48849665YNT7103768I0336222",1,"Solomon Islands"
537,72,89,"HQ74918328JRJ1848262I0876214",2,"Mauritius"
538,67,90,"JY23561835QCL1861746T6962341",2,"Nicaragua"
539,74,138,"IR07926013DNJ4302248T5921076",2,"Netherlands"
540,53,66,"ZN27844712ZHE7540144W2187537",2,"Iceland"
541,32,92,"WJ66265383XQJ6275669K8059276",1,"Qatar"
542,57,52,"RH39070357SQL6372844U9086432",1,"Virgin Islands, United States"
543,19,70,"HB73489385CFO2267838Y9212139",2,"Suriname"
544,40,134,"UG22015729BUI0486175F6829886",1,"Martinique"
545,69,111,"IY86088417EMO3201241S6218533",1,"Latvia"
546,17,116,"AO28204469QAS8225831Q6183585",1,"Sierra Leone"
547,12,139,"QN24638279RAA8213147Y5877143",1,"Cameroon"
548,8,129,"PQ17178845BEY8113147C3782503",2,"Saint Kitts and Nevis"
549,60,109,"QP45451274ORW1538526S4753165",2,"Malta"
550,59,67,"BQ31013328PJI6725256Y6634807",2,"Namibia"
551,25,70,"TC44786626SFG8875173O4628807",2,"Germany"
552,60,52,"TH28757636RIV4623150Y6622154",2,"Uzbekistan"
553,15,132,"HG56984912NCJ8985377H2410364",1,"Anguilla"
554,50,135,"XL57210349DWW5558555T8478236",2,"Korea, South"
555,7,71,"AU64727822HPC6809265S4522864",1,"Bahrain"
556,84,135,"MI68832758HLQ7270625R2869369",1,"Lebanon"
557,52,33,"FX05864458VFL2549246B0110526",1,"Lithuania"
558,4,106,"BD61671857ICG7666436H2551943",2,"Botswana"
559,51,105,"RU23683734OZL9952118C6682518",2,"Portugal"
560,65,46,"WL12876313UWB7116628W3151325",1,"Australia"
561,32,44,"EI20383666QSI8695751V4026702",2,"Gambia"
562,55,106,"SO12661823MIE4051515C9525198",1,"Iran"
563,68,46,"XU28485325VBE8002801M4131509",1,"Nigeria"
564,13,106,"JT16782910MBP2288280S1472525",1,"Guyana"
565,12,139,"CU14848795LPV5124517X6434116",2,"Hungary"
566,66,75,"SY96283236AXP3740754L2646530",1,"Malta"
567,25,137,"KT61964151FNE9558920P6884757",2,"Cambodia"
568,72,71,"PP92713254XLJ6848466O1357342",2,"Netherlands"
569,32,52,"KZ70441851NTC7918526I4676455",2,"Chad"
570,47,35,"HD63126964EXQ5277312F8712841",2,"Antigua and Barbuda"
571,87,64,"CK23345741AGS5868510Y8359213",1,"Malawi"
572,6,57,"WU72758731VIO1711016G6549943",2,"Marshall Islands"
573,16,88,"GS76808960WRI1236354F7160112",1,"Barbados"
574,4,47,"ZM45978681RDR3680432E2168662",1,"Vanuatu"
575,87,110,"DH18243843DLO1635213K1466815",1,"Palestine, State of"
576,48,130,"NV32488811DMD8561314E3967104",1,"Western Sahara"
577,30,105,"IS82256955IOK0127754F2913838",1,"Indonesia"
578,2,86,"DX24563541SIJ6895846V7161552",2,"Portugal"
579,13,130,"IZ83215867KIS0278863M6801200",1,"Bahrain"
580,87,74,"FG82138150ZHM5152317Y8214266",2,"Ukraine"
581,8,60,"CU15553044FIL8887667N3167816",1,"Bermuda"
582,17,105,"YC15423119PRR4082156O0138767",1,"Togo"
583,34,44,"NN96007210LIH1342455W3334050",1,"Libya"
584,21,105,"GV19240847LUR5156175L2173320",1,"Costa Rica"
585,10,77,"OO31558084POR3701168O6195182",2,"Azerbaijan"
586,4,62,"GT92474338BEV7735398Y2325652",1,"Niger"
587,86,43,"XT43501072KSB1416573U0250744",2,"Libya"
588,56,72,"NP75567108LKG6331577R1743776",2,"Qatar"
589,54,52,"II21564024TGR9567794P1141535",2,"Slovenia"
590,2,127,"YI39942441WGQ8713652Z7532261",1,"Pitcairn Islands"
591,79,83,"WR94854235LRW3133755I2271130",1,"Gabon"
592,2,126,"LE16172732CKR6617507C6766876",1,"Côte D'Ivoire (Ivory Coast)"
593,19,103,"IK52733195YRY7133076E3713257",1,"Tokelau"
594,64,115,"NX92545211IKO1153132E4322790",1,"France"
595,15,133,"UQ19158857WDU4364524Y6586112",1,"Barbados"
596,86,72,"MR40950520ULY2918644I2877178",1,"Thailand"
597,29,97,"GE18825682BWG6563789K2198333",1,"Tokelau"
598,61,38,"DU46378736MVD2120776K2375417",1,"China"
599,28,62,"FS28312411IDX5281197O6613779",1,"Poland"
600,48,112,"LV81156661WOO4072437F7271633",2,"Ukraine"
601,68,65,"PS94541527IOE3616656V8476750",2,"Paraguay"
602,47,64,"DM59586823BFJ8478257W7865048",1,"Ecuador"
603,64,64,"FC64233085EPQ7384635Y6165346",2,"Portugal"
604,7,73,"TD32113357UPS5245430I6334175",2,"Nauru"
605,15,135,"LE23213252KYO9099950T9110684",1,"Malaysia"
606,47,138,"QF73620647CUS7232894C5743794",1,"Uruguay"
607,39,116,"DO58430766TUL7654867T4656730",1,"Sao Tome and Principe"
608,9,136,"WC72891364AZJ5111805M9091444",2,"Russian Federation"
609,64,75,"QY95153779JUE8666797Z8839273",1,"Falkland Islands"
610,19,82,"RX65914166XDH7571763Q8318147",2,"Western Sahara"
611,57,82,"WH46681387WFA3176221H8707597",1,"Iran"
612,65,91,"KH54637348ZGQ8135636G4884472",2,"Cuba"
613,54,77,"UF73158404EML2425168B6150384",1,"Paraguay"
614,58,71,"FE20853476FBX1367961E5577552",2,"Taiwan"
615,29,110,"WK81561359WFT2134765J1930712",2,"Poland"
616,11,58,"RE04888922WMO7778925R2783354",2,"Guinea-Bissau"
617,53,132,"MY85014519IDX4674571E0889748",1,"Belgium"
618,47,47,"IN72228057EYK8781115K7377598",1,"Luxembourg"
496,68,135,"UJ83787309USX5900855R1473819",2,"Congo, the Democratic Republic of the"
497,56,118,"BH65832594YSH3384342G2366477",2,"Moldova"
498,58,123,"YO79081275JZJ0528776S2824567",1,"Suriname"
499,55,107,"MZ57648190JEP2851784Z1972418",1,"Lithuania"
500,54,73,"NF53270858HMM2313915W1944600",2,"Nepal"
501,19,63,"VS69201369CQI3747749Q9136798",1,"Belize"
502,60,78,"KH65728227MGL1477775O8734743",1,"Uruguay"
503,77,60,"LD71587847ERN5782344B7556031",2,"Poland"
504,85,101,"CG33225426QYY9487838W3447817",2,"Mali"
505,42,105,"PU97566182RWY7447295O5007851",2,"Bhutan"
506,39,56,"PC21639118JIU1755561Z4221426",2,"South Africa"
507,52,57,"TC49135448NOT7618976K2746774",1,"Saint Barthélemy"
508,17,112,"KV08876464MSB1602599X6165828",1,"Philippines"
509,85,39,"JJ40155675WHM3886508P4877773",2,"Honduras"
510,76,35,"QB59514279JHU2986680R2432252",1,"Antigua and Barbuda"
511,13,120,"QD27568680KVT3545408O6475125",1,"Sudan"
512,56,77,"MV68353132UEJ5223625J3610783",2,"Uruguay"
513,76,89,"TT17088776UBJ4012347M6826453",2,"Cuba"
514,24,118,"MV12525247EYK0700588D2304121",1,"Kenya"
515,39,127,"HS39720444UUI2713777T4944345",1,"Algeria"
516,55,107,"TV52600426CZB1855135S8743727",2,"Bouvet Island"
517,61,118,"DY88707712BCN6718357T1604574",1,"Kazakhstan"
518,51,50,"HY37278767YCY1221741B0324472",1,"Marshall Islands"
519,83,55,"FV92159533CLJ1232797T2718885",2,"Moldova"
520,5,103,"TY04170719BHU5232935O6176218",1,"Macao"
521,51,42,"EF17769169ZFJ4692154I6280221",2,"Russian Federation"
522,38,126,"MF73859266GQT3710591X1025614",1,"Dominican Republic"
523,11,45,"NO17250548SKH5529751L4339869",2,"Mauritania"
524,40,111,"UK28268730HUI1374266U7720127",1,"Azerbaijan"
525,86,133,"QC37033580JMW3728464T7654312",1,"Estonia"
526,17,115,"YJ53324564ETM2154166Y8761473",1,"Haiti"
527,37,130,"UW24190785KWN3781861N2712552",1,"Benin"
528,37,107,"TG40145467QJN8736989F9062537",1,"Tuvalu"
529,35,128,"PP83330739MMF7239984P0382568",1,"Maldives"
530,18,134,"IE26225222TCR1308512T0537423",2,"Togo"
531,46,117,"LY65423413ZCV5093237W7083872",2,"Viet Nam"
532,44,50,"XF53227936EFJ2341015U8623127",1,"Turkmenistan"
533,47,104,"GQ64321181AXQ5667271M4466827",2,"Austria"
534,71,77,"HX38786235AFE0429533X5221511",2,"Qatar"
1,53,34,"IF44644401PBG5158569D6898299",2,"Mongolia"
2,8,34,"TJ63472849KQL6684857C1469941",2,"Mayotte"
3,12,98,"OM97960389CUJ3102143Y8353382",1,"Korea, North"
4,23,49,"XK82752551CPQ2035102X6853826",1,"Peru"
5,55,72,"NW36992739EYV2222821R5454311",2,"Puerto Rico"
6,26,64,"PX78170876IDG7893463G1867451",2,"Turkmenistan"
7,50,42,"QM53474263XYW2622051Y3957258",2,"Croatia"
8,64,70,"DT52772842XHB1246521Y7418052",2,"Norway"
9,19,68,"HT72384864NMN1178326V7309330",1,"Somalia"
10,64,76,"GQ23363720LQF2724513W6390830",2,"Tunisia"
11,35,128,"KO50718440XEB7017657M1917349",2,"Belarus"
12,79,104,"KK79368206BMG2717374V3727752",2,"Solomon Islands"
13,77,62,"OK11637726MRI1213744B1545373",1,"Norway"
14,7,81,"OW39414355FWR8635837U2176347",1,"Venezuela"
15,21,52,"QD18127475NXG2435713T1244628",2,"Rwanda"
16,33,119,"XQ20133458EMX2965078C0612116",2,"Sri Lanka"
